Dead (X),Individual ID (EGGPOD#.HATCHING#_TEMP_LIGHT_SPECIES_SITE),CCode,Site,Species,sex,Temp (HV/LV),Light (L/S),Notes,Date 2nd,2nd Mass (g),Notes 2nd,Date 3rd,3rd Mass (g),Notes 3rd,Date 4th,4th Mass (g),Notes 4th,Date 5th,5th Mass (g),Notes 5th,Date 5th+,5th+ Mass (g),Notes 5th +,Date Adult,Adult Mass (g),Adult Femur Length (mm),Adult Pronotum Length (mm),Notes A,Death date,Death Note,
X,FY1.13_HV_S_dodg_C1,GrG,C1,dodg,M,HV,S,,,,,4/19/16,0.0254,,4/25/16,0.0699,,4/30/16,0.1436,,,,,5/10/16,0.2028,9.81,4.88,,6/3/16,,
X,FY1.14_HV_S_dodg_C1,,C1,dodg,,HV,S,,,,,4/19/16,0.0092,,,,,,,,,,,,,,,,4/30/16,,
,FY1.15_HV_S_dodg_C1,GrP,C1,dodg,F,HV,S,,4/19/16,0.0258,,4/21/16,0.0521,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/16,0.0825,,5/3/16,0.1891,,,,,5/14/16,0.3538,11.38,4.7,found as adult missing molt,,,
,FY1.16_HV_S_dodg_C1,RY,C1,dodg,F,HV,S,,,,,4/19/16,0.0262,,4/25/16,0.0695,,5/2/16,0.1746,,,,,5/11/16,0.3302,11.7,4.83,,,,
X,FY1.17_HV_S_dodg_C1,RB,C1,dodg,M,HV,S,,,,,4/19/16,0.0256,,4/27/16,0.0793,,5/2/16,0.1146,,,,,5/11/16,0.2016,9.73,4.1,,5/14/16,crushed,
,F11.1_HV_S_dodg_B1,WR,B1,dodg,,HV,S,,,,,4/19/16,0.0481,,4/25/16,0.075,,,,,,,,,,,,,,,
,F11.2_HV_S_dodg_B1,WY,B1,dodg,,HV,S,,,,,4/19/16,0.0308,,4/25/16,0.0587,,,,,,,,,,,,,,,
X,F11.3_HV_S_dodg_B1,WB,B1,dodg,F,HV,S,,,,,4/19/16,0.0434,,4/25/16,0.0862,,5/2/16,0.2085,,,,,5/11/16,0.3082,13.76,4.91,,5/24/16,,
,F11.4_HV_S_dodg_B1,WO,B1,dodg,F,HV,S,,,,,4/19/16,0.429,,4/25/16,0.0996,,5/2/16,0.1701,,,,,5/12/16,0.401,12.74,5.02,,,,
X,F11.5_HV_S_dodg_B1,,B1,dodg,,HV,S,,,,,4/19/16,0.419,,4/25/16,0.1019,,4/30/16,0.1512,,,,,,,,,,5/10/16,,
,F11.6_HV_S_dodg_B1,WG,B1,dodg,F,HV,S,,,,,4/19/16,0.437,,4/24/16,0.0671,,5/2/16,0.1637,,,,,5/11/16,0.4198,12.09,4.81,,,,
X,F11.7_HV_S_dodg_B1,WP,B1,dodg,F,HV,S,,,,,4/19/16,0.0482,,4/24/16,0.0926,,5/2/16,0.2483,,,,,5/9/16,0.2939,11.41,4.93,,6/3/16,,
,F11.8_HV_S_dodg_B1,GrR,B1,dodg,F,HV,S,,,,,4/19/16,0.0327,,4/25/16,0.096,,5/2/16,0.1919,,,,,5/11/16,0.2765,11.55,4.15,,,,
,F11.9_HV_S_dodg_B1,GrY,B1,dodg,M,HV,S,,,,,4/19/16,0.0452,,4/24/16,0.0788,,5/11/16,0.287,looks like an adult,,,,5/14/16,0.2883,11.61,4.27,found as adult with no molt,,,
,F11.10_HV_S_dodg_B1,GrB,B1,dodg,F,HV,S,,,,,4/19/16,0.0324,,4/26/16,0.0938,,,,,,,,5/13/16,0.507,12.57,4.73,,,,
X,F11.11_HV_S_dodg_B1,,B1,dodg,,HV,S,,,,,4/19/16,0.0372,,4/25/16,0.0888,,,,,,,,,,,,,4/26/16,,
,F11.12_HV_S_dodg_B1,GrO,B1,dodg,,HV,S,,,,,4/19/16,0.0429,,4/25/16,0.0727,,5/2/16,0.1018,,,,,,,,,,5/5/16,,
,F11.13_HV_S_dodg_B1,GrG,B1,dodg,M,HV,S,,,,,4/19/16,0.0426,,4/24/16,0.0667,,5/2/16,0.1488,,,,,5/11/16,0.2498,11.24,4.34,,,,
,F11.14_HV_S_dodg_B1,GrP,B1,dodg,M,HV,S,,,,,4/19/16,0.0378,,4/24/16,0.0659,,4/30/16,0.1505,,,,,5/9/16,0.2179,10.75,4.35,,,,
,F11.15_HV_S_dodg_B1,RY,B1,dodg,,HV,S,,,,,4/19/16,0.0376,,,,,,,,,,,,,,,,5/5/16,,
,F84.1_HV_S_dodg_C1,WR,C1,dodg,,HV,S,,,,,4/19/16,0.054,,4/23/16,0.0709,,5/2/16,0.2351,,,,,,,,,,5/11/16,,
,F84.2_HV_S_dodg_C1,WY,C1,dodg,F,HV,S,,,,,4/19/16,0.0411,,4/24/16,0.0823,,5/2/16,0.2199,,,,,5/11/16,0.4377,11.92,4.88,,,,
,F84.3_HV_S_dodg_C1,WB,C1,dodg,F,HV,S,,,,,4/19/16,0.0471,,4/24/16,0.0932,,4/30/16,0.1933,,,,,5/10/16,0.3435,11.77,5.03,,,,
,F84.4_HV_S_dodg_C1,WO,C1,dodg,M,HV,S,,4/19/16,0.0467,,4/24/16,0.0801,,4/30/16,0.1576,,5/2/16,0.0862,"not adult, so shifted left",,,,5/9/16,0.2133,10.39,4.35,,5/23/16,,
,F84.5_HV_S_dodg_C1,WG,C1,dodg,M,HV,S,,4/19/16,0.0345,,4/21/16,0.0588,"shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd.  Later (4/26) found with what appears to be a molted leg, but not a full molt",4/27/16,0.0754,,5/12/16,0.1844,,,,,5/14/16,0.2062,9.4,3.36,molt missing when discovered as adult; tarsus injured,,,
,F84.6_HV_S_dodg_C1,WP,C1,dodg,M,HV,S,,,,,4/19/16,0.0401,,4/24/16,0.0775,,5/2/16,0.1004,,,,,5/11/16,0.2698,9.88,4.19,,,,
,F84.7_HV_S_dodg_C1,GrR,C1,dodg,F,HV,S,,,,,4/19/16,0.0471,,4/24/16,0.079,,,,,,,,5/10/16,0.2792,11.95,4.82,,,,
,F84.8_HV_S_dodg_C1,GrY,C1,dodg,,HV,S,,,,,4/19/16,0.0389,,4/23/16,0.0545,,5/2/16,0.1255,,,,,,,,,,5/5/16,,
X,F84.9_HV_S_dodg_C1,,C1,dodg,,HV,S,,,,,4/19/16,0.0423,,4/24/16,0.0722,,5/2/16,0.1411,,,,,,,,,,5/9/16,,
,F84.10_HV_S_dodg_C1,GrB,C1,dodg,,HV,S,,,,,4/19/16,0.0473,,4/25/16,0.1122,,4/28/16,0.1481,,,,,,,,,,5/5/16,,
,F84.11_HV_S_dodg_C1,GrO,C1,dodg,F,HV,S,,,,,4/19/16,0.0497,,4/23/16,0.0911,,4/30/16,0.1597,,,,,5/9/16,0.3973,11.72,5.43,,,,
,F84.12_HV_S_dodg_C1,GrG,C1,dodg,F,HV,S,,,,,4/19/16,0.0469,,4/23/16,0.0806,,4/30/16,0.208,,,,,5/9/16,0.3977,12.5,5.25,,,,
,F84.13_HV_S_dodg_C1,GrP,C1,dodg,M,HV,S,,,,,4/19/16,0.0418,,4/24/16,0.0729,,5/2/16,0.1542,,,,,5/9/16,0.2021,10.07,4.51,,5/23/16,,
,F84.14_HV_S_dodg_C1,RY,C1,dodg,,HV,S,,,,,4/19/16,0.0457,,4/24/16,0.0878,,5/2/16,0.189,,,,,,,,,,5/4/16,,
,F84.15_HV_S_dodg_C1,RB,C1,dodg,M,HV,S,,,,,4/19/16,0.0452,,4/23/16,0.068,,4/30/16,0.1404,,,,,5/13/16,0.2443,9.75,4.22,tarsus injured,,,
,F72.1_HV_S_dodg_B1,WR,B1,dodg,M,HV,S,,4/19/16,0.0242,,4/21/16,0.0503,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/16,0.0681,,5/4/16,0.1696,,,,,5/16/16,0.2844,10.14,4.03,,,,
,F72.2_HV_S_dodg_B1,WY,B1,dodg,,HV,S,,4/19/16,0.0343,,4/24/16,0.0617,,5/2/16,0.144,,5/7/16,0.1807,"left tarsus missing.  not adult, so shifted left",,,,5/18/16,0.347,11.98,4.47,left leg missing,,,
,F74.1_LV_S_B1,WR,B1,dodg,M,LV,S,,4/20/16,0.0263,,4/21/16,0.0393,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/27/16,0.0623,,5/2/16,0.0827,,5/5/16,0.165,,5/16/16,0.2566,10.12,4.24,left tarsus missing,,,
X,F74.2_LV_S_B1,,B1,dodg,,LV,S,,,,,4/20/16,0.0274,,4/28/16,0.0741,,,,,,,,,,,,,5/3/16,,
,F74.3_LV_S_B1,WY,B1,dodg,F,LV,S,,4/20/16,0.0273,,4/21/16,0.0473,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/28/16,0.0681,,5/7/16,0.1979,,,,,5/18/16,0.3099,11.61,5.35,,,,
,F74.4_LV_S_B1,WB,B1,dodg,F,LV,S,,,,,4/20/16,0.0295,,4/26/16,0.0691,,5/4/16,0.1749,,,,,5/16/16,0.3668,11.29,4.43,,,,
,F74.5_LV_S_B1,WO,B1,dodg,F,LV,S,,,,,4/20/16,0.028,,4/27/16,0.0951,,5/5/16,0.1994,,,,,5/16/16,0.2895,11.93,4.46,,,,
,F74.6_LV_S_B1,WG,B1,dodg,M,LV,S,,,,,4/20/16,0.0235,,4/27/16,0.0628,,5/5/16,0.1252,,,,,5/17/16,0.1914,10.09,4.28,,,,
X,F74.7_LV_S_B1,,B1,dodg,,LV,S,,4/20/16,0.0258,,4/21/16,0.0331,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/29/16,0.0867,,,,,,,,,,,,,5/2/16,,
,F74.8_LV_S_B1,GrY,B1,dodg,F,LV,S,,4/20/16,0.0248,,4/21/16,0.0425,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/29/16,0.0653,,5/9/16,0.1351,,,,,5/20/16,0.3778,12.03,4.75,,,,
X,F74.9_LV_S_B1,GrR,B1,dodg,M,LV,S,,,,,4/20/16,0.0259,,4/28/16,0.0989,,5/4/16,0.1242,,,,,5/16/16,0.2896,10.23,4.24,,6/1/16,,
,F74.10_LV_S_B1,GrY,B1,dodg,,LV,S,,,,,4/20/16,0.026,,4/28/16,0.0727,,5/6/16,0.1099,,5/20/16,0.2026,,,,,,,,,
,F74.11_LV_S_B1,GrB,B1,dodg,,LV,S,,,,,4/20/16,0.0132,,,,,,,,,,,,,,,,4/30/16,,
,FW1.1_LV_S_C1,WR,C1,dodg,,LV,S,,4/20/16,0.026,,4/23/16,0.0417,,4/30/16,0.1014,,5/3/16,0.1234,"not adult, shifted left",5/9/16,0.2108,,5/18/16,0.2715,11.87,5.47,lose right leg,5/23/16,,
X,FW1.2_LV_S_C1,,C1,dodg,,LV,S,,4/20/16,0.0287,,4/23/16,0.0493,,4/26/16,0.0563,Shifted from 5th to 4th due to morphological observations,,,,,,,,,,,,5/2/16,,
,F41_LV_S_dodg_B1,WR,B1,dodg,,LV,S,3 dead,,,,,,,,,,,,,,,,,,,,,,,
,F57A.1_LV_S_B1,WR,B1,dodg,F,LV,S,,,,,4/20/16,0.0315,,4/23/16,0.035,missing leg,4/30/16,0.0885,,5/9/16,0.1967,,5/23/16,0.2564,12.12,4.86,lose right leg,,,
,F57A.2_LV_S_B1,WY,B1,dodg,F,LV,S,,,,,4/20/16,0.0316,,4/23/16,0.0369,,4/30/16,0.0997,,5/9/16,0.154,,5/23/16,0.3174,11.05,5.09,,,,
,F57A.3_LV_S_B1,WP,B1,dodg,F,LV,S,,,,,4/20/16,0.0283,,4/23/16,0.0334,,4/30/16,0.0675,,5/11/16,0.1961,,5/23/16,0.3581,11.69,5.96,,,,
,F57A.4_LV_S_B1,WO,B1,dodg,,LV,S,,,,,4/20/16,0.0305,,4/23/16,0.0357,,4/30/16,0.0794,,,,,,,,,,5/23/16,,
,F57A.5_LV_S_B1,WG,B1,dodg,,LV,S,,,,,4/20/16,0.0136,,4/27/16,0.0271,,5/9/16,0.1659,,,,,,,,,,4/30/16,,
,F57A.6_LV_S_B1,WB,B1,dodg,F,LV,S,,,,,4/20/16,0.0329,,4/23/16,0.0526,,4/30/16,0.1158,,5/9/16,0.1959,,5/23/16,0.2807,11.76,5.36,,,,
X,FA1.1_LV_S_C1,,C1,dodg,,LV,S,,4/20/16,0.0365,,4/21/16,0.0501,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/27/16,0.0801,missing left hind leg ,,,,,,,,,,,,5/7/16,,
X,FA1.2_LV_S_C1,,C1,dodg,,LV,S,,,,,4/20/16,0.0281,,4/30/16,0.0443,,5/2/16,0.0463,,,,,,,,,,5/9/16,,
X,FA1.3_LV_S_C1,,C1,dodg,,LV,S,,4/20/16,0.03,,4/23/16,0.0453,,5/2/16,0.0684,"looks like a 4th, so shifted left",,,,,,,,,,,,5/6/16,,
X,FA1.4_LV_S_C1,WR,C1,dodg,,LV,S,,,,,4/20/16,0.037,,4/22/16,0.0472,,4/29/16,0.0776,,5/9/16,0.1322,,,,,,,5/16/16,,
X,FA1.5_LV_S_C1,,C1,dodg,,LV,S,,,,,4/20/16,0.0077,,4/30/16,0.0827,,,,,,,,,,,,,4/26/16,,
,FA1.6_LV_S_C1,WB,C1,dodg,F,LV,S,,,,,4/20/16,0.0323,,4/23/16,0.0369,,5/9/16,0.1481,,,,,5/19/16,0.2806,11.14,5.23,,,,
X,FA1.7_LV_S_C1,,C1,dodg,,LV,S,,,,,4/20/16,0.031,,4/23/16,0.0329,,4/30/16,0.0616,,,,,,,,,,5/6/16,,
X,FA1.8_LV_S_C1,,C1,dodg,,LV,S,,,,,4/20/16,0.0392,,4/26/16,0.0767,,5/4/16,0.1412,,,,,,,,,,5/7/16,,
,FA1.9_LV_S_C1,WP,C1,dodg,F,LV,S,,,,,4/20/16,0.0405,,4/26/16,0.0754,,5/4/16,0.1673,,,,,5/14/16,0.2426,11.45,4.46,,5/23/16,,
,FA1.10_LV_S_C1,GrR,C1,dodg,F,LV,S,,,,,4/20/16,0.0374,,4/23/16,0.0503,,5/2/16,0.0722,,5/10/16,0.1543,,5/21/16,0.3468,11.25,5.27,missing right leg,,,
,FA1.11_LV_S_C1,WR,C1,dodg,M,LV,S,,4/20/16,0.0428,,4/21/16,0.0403,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/28/16,0.098,,5/5/16,0.1253,,,,,5/17/16,0.217,,,,5/30/16,,
X,F22.1_LV_S_A1,WR,A1,dodg,F,LV,S,3 dead,4/20/16,0.0194,,4/21/16,0.0174,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/28/16,0.049,,5/5/16,0.0916,,5/13/16,0.1783,,5/24/16,0.3364,12.74,5.48,,6/3/16,,
X,F22.2_LV_S_A1,WY,A1,dodg,F,LV,S,,,,,4/20/16,0.0282,,4/26/16,0.0471,,5/3/16,0.0904,,5/14/16,0.1297,,5/27/16,0.228,9.9,4.11,,6/3/16,,
X,F22.3_LV_S_A1,WB,A1,dodg,,LV,S,,,,,4/20/16,0.0143,,4/24/16,0.0144,,5/6/16,0.0255,,,,,,,,,,5/30/16,,
,F22.4_LV_S_A1,WO,A1,dodg,,LV,S,,,,,4/20/16,0.0081,,,,,,,,,,,,,,,,,,
X,F22.5_LV_S_A1,,A1,dodg,,LV,S,,4/20/16,0.0174,,4/21/16,0.2,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/28/16,0.0367,,,,,,,,,,,,,5/4/16,,
X,F22.6_LV_S_A1,WP,A1,dodg,,LV,S,,4/20/16,0.0168,,4/21/16,0.277,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/30/16,0.0408,,5/7/16,0.0755,,,,,,,,,,5/17/16,,
,F22.7_LV_S_A1,GrR,A1,dodg,M,LV,S,,,,,4/20/16,0.0245,,4/24/16,0.0309,,5/2/16,0.0778,,5/10/16,0.114,,5/21/16,0.2271,10.7,4.83,,,,
,FZ1.1_HV_L_C1,WR,C1,dodg,M,HV,L,7 dead,,,,4/20/16,0.0487,,4/24/16,0.0762,,4/30/16,0.1247,,5/9/16,0.1797,,5/14/16,0.2546,11.11,4.27,Found adult without molt,,,
,FZ1.2_HV_L_C1,WY,C1,dodg,,HV,L,,,,,4/20/16,0.0247,,,,,,,,,,,,,,,,4/22/16,,
,FZ1.3_HV_L_C1,WB,C1,dodg,M,HV,L,,,,,4/20/16,0.0418,,4/25/16,0.0719,,5/2/16,0.1127,,,,,5/11/16,0.1722,9.82,4.32,,,,
,FZ1.4_HV_L_C1,WO,C1,dodg,M,HV,L,,,,,4/20/16,0.0426,,4/25/16,0.0596,,5/2/16,0.0935,,,,,5/12/16,0.1998,9.88,4.38,,,,
,FZ1.5_HV_L_C1,WG,C1,dodg,,HV,L,,,,,4/20/16,0.0438,,,,,,,,,,,,,,,,4/22/16,,
,FZ1.6_HV_L_C1,WP,C1,dodg,,HV,L,,,,,4/20/16,0.0479,,4/25/16,0.07,,,,,,,,,,,,,4/30/16,,
,F26.1_HV_L_A1,WR,A1,dodg,M,HV,L,3 dead,,,,4/20/16,0.0332,,4/23/16,0.0557,,4/28/16,0.0794,,5/5/16,0.1935,,5/14/16,0.2495,11.37,4.29,, ,,
,F26.2_HV_L_A1,WY,A1,dodg,M,HV,L,,4/20/16,0.0384,,4/22/16,0.0404,,4/27/16,0.0868,,5/3/16,0.1223,"probably not adult, shifted left",,,,5/13/16,0.2726,10.46,4.61,,,,
,F26.3_HV_L_A1,WB,A1,dodg,F,HV,L,,,,,4/20/16,0.0357,,4/23/16,0.0551,,4/29/16,0.1127,,5/6/16,0.2112,,5/17/16,0.3293,11.25,5.35,,,,
,F26.4_HV_L_A1,WO,A1,dodg,,HV,L,,,,,4/20/16,0.0302,,5/2/16,0.0973,,,,,,,,5/19/16,0.3533,10.61,4.8,,,,
,F26.5_HV_L_A1,WG,A1,dodg,,HV,L,,,,,4/20/16,0.0163,,4/25/15,0.0365,,4/30/16,0.0738,,,,,,,,,,,,
,F10.1_HV_L_A1,WR,A1,dodg,M,HV,L,4 dead,4/20/16,0.039,,4/21/16,0.0536,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/16,0.0836,,5/3/16,0.1848,,,,,5/14/16,0.3601,11.72,4.58,,5/19/16,,
,F10.2_HV_L_A1,WY,A1,dodg,M,HV,L,,4/20/16,0.0342,,4/21/16,0.0408,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/16,0.0639,,5/3/16,0.1102,,,,,5/14/16,0.2658,10.27,4.47,,,,
,F10.3_HV_L_A1,WB,A1,dodg,F,HV,L,,4/20/16,0.034,,4/21/16,0.0418,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/26/16,0.0611,,5/3/16,0.1355,,,,,5/13/16,0.2283,10.59,4.17,left limb missing,,,
,F10.4_HV_L_A1,WO,A1,dodg,F,HV,L,,4/20/16,0.034,,4/21/16,0.0393,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/27/16,0.0698,,5/5/16,0.12,,,,,5/16/16,0.1829,10.52,4.1,,,,
X,F10.5_HV_L_A1,,A1,dodg,,HV,L,,,,,4/20/16,0.0411,,4/22/16,0.0513,,4/27/16,0.0759,,,,,,,,,,5/3/16,,
,F14.1_HV_L_A1,WR,A1,dodg,,HV,L,,,,,4/20/16,0.0216,,4/24/16,0.0538,,4/30/16,0.1323,,5/7/16,0.2011,,,,,,,5/19/16,,
X,F14.2_HV_L_A1,,A1,dodg,,HV,L,,,,,4/20/16,0.0275,,4/22/16,0.044,,4/28/16,0.0842,,,,,,,,,,5/3/16,,
,F14.3_HV_L_A1,WB,A1,dodg,F,HV,L,,,,,4/20/16,0.0215,,4/24/16,0.0513,,5/3/16,0.1276,,5/11/16,0.2904,,5/21/16,0.5097,13.42,5.77,,,,
X,F14.4_HV_L_A1,,A1,dodg,,HV,L,,,,,4/20/16,0.0284,,4/23/16,0.0661,,4/29/16,0.1381,,5/6/16,0.1986,,,,,,,5/11/16,,
,F14.5_HV_L_A1,WG,A1,dodg,F,HV,L,,,,,4/20/16,0.0192,,4/25/16,0.0459,,5/2/16,0.1133,,5/9/16,0.1786,,5/20/16,0.3545,12.45,4.93,,,,
,F15.1_HV_L_B1,WR,B1,dodg,F,HV,L,1 dead,,,,4/20/16,0.0309,,4/22/16,0.0376,,4/28/16,0.0714,,5/6/16,0.2159,,5/19/16,0.3217,11.59,4.79,,,,
,F15.2_HV_L_B1,WY,B1,dodg,F,HV,L,,4/20/16,0.033,,4/21/16,0.0301,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/27/16,0.072,,5/3/16,0.1214,,,,,5/13/16,0.2255,10.75,3.75,,5/19/16,,
X,F15.3_HV_L_B1,,B1,dodg,,HV,L,,,,,4/20/16,0.0306,,4/22/16,0.039,,4/28/16,0.078,,5/5/16,0.1449,,,,,,,5/12/16,,
,F15.4_HV_L_B1,WO,B1,dodg,F,HV,L,,,,,4/20/16,0.014,,4/27/16,0.0278,,5/5/16,0.05,,5/13/16,0.1644,,5/23/16,0.245,11.72,4.81,,,,
X,F15.5_HV_L_B1,,B1,dodg,,HV,L,,4/20/16,0.0365,,4/21/16,0.0343,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/28/16,0.0623,,,,,,,,,,,,,5/2/16,,
,F15.6_HV_L_B1,WP,B1,dodg,,HV,L,,,,,4/20/16,0.0303,,4/22/16,0.0331,,,,,,,,,,,,,,,
,F15.7_HV_L_B1,GrR,B1,dodg,M,HV,L,,4/20/16,0.0328,,4/21/16,0.0326,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/27/16,0.071,,5/3/16,0.1219,,,,,5/14/16,0.1928,11.53,3.95,,,,
,F15.8_HV_L_B1,GrY,B1,dodg,F,HV,L,,,,,4/20/16,0.0392,,4/22/16,0.0524,,4/28/16,0.0731,,5/5/16,0.2327,,5/16/16,0.392,11.81,4.87,,,,
X,FD1.1_LV_S_C1,,C1,dodg,,LV,S,2 dead,4/20/16,0.0304,,4/21/16,0.0392,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/27/16,0.054,,,,,,,,,,,,,5/7/16,,
X,FD1.2_LV_S_C1,WR,C1,dodg,,LV,S,,4/20/16,0.0315,,4/21/16,0.0452,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/27/16,0.1018,,5/2/16,0.0852,,5/5/16,0.1592,,5/18/16,0.223,10.85,4.75,lose left leg,5/23/16,,
,FD1.3_LV_S_C1,WY,C1,dodg,,LV,S,,4/20/16,0.0292,,4/21/16,0.0395,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,,,mid-molt 4/30/2016,5/7/16,0.0918,missing right leg,5/20/16,0.2039,,5/23/16,0.1846,,,lost weight,,,
X,FD1.4_LV_S_C1,WB,C1,dodg,F,LV,S,,4/20/16,0.0314,,4/21/16,0.0456,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,4/28/16,0.1021,,5/5/16,0.1458,,,,,5/17/16,0.444,10.86,5.17,,6/3/16,,
,FD1.5_LV_S_C1,WO,C1,dodg,M,LV,S,,4/20/16,0.0368,,4/26/16,0.0748,,4/28/16,0.0803,,5/3/16,0.156,"not adult, shifted left",,,,5/14/16,0.2446,10.77,3.91,,,,
X,FD1.6_LV_S_C1,,C1,dodg,,LV,S,,4/20/16,0.0322,,4/21/16,0.0443,shifted to 3rd (from 4th) because of rapid molt.  Assume moved to cup as 2nd,,,,,,,,,,,,,,,5/6/16,,
,FD1.7_LV_S_C1,WG,C1,dodg,M,LV,S,,,,,4/20/16,0.0291,,4/26/16,0.0607,,5/3/16,0.1572,,,,,5/12/16,0.2017,11.02,4,,,,
,FD1.8_LV_S_C1,WP,C1,dodg,F,LV,S,,,,,4/20/16,0.0362,,4/26/16,0.0838,,5/3/16,0.2234,,,,,5/13/16,0.4366,12.88,4.9,,,,
,FD1.9_LV_S_C1,GrR,C1,dodg,M,LV,S,,,,,4/20/16,0.0285,,4/26/16,0.0529,,5/3/16,0.1006,,,,,5/14/16,0.1859,10.16,3.88,,,,
